Lookup ID,ZIP,Member,Total   Number of GIfts,Total Gifts Amount,Largest Gift Amount,Largest Gift Date,First Gift Amount,First Gift Date,Latest Gift Amount,Lastest Gift Date,Total Pledges,Predicted Affinity for Children's Causes,Predicted Affinity for Educational Causes,Predicted Affinity for Science,Predicted Affinity for Arts & Culture,Predicted Level of Technology Adoption
8-10045179,43202-1252,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,Novice
8-10048979,22030-6243,8-10003639,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10041415,22030-2333,8-10003351,0,0.00,20.00,"",20.00,5/23/2020,20.00,5/23/2020,0.00,35,35,35,42,0
8-10019997,22150-1630,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
1005,22066-2212,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,Apprentice
8-10003634,20169-3187,8-10000010,0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,90,35,35,0
8-10018186,20121-2574,8-10002105,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,90,0,35,0
8-10040348,22150-3827,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10033297,20191,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,Apprentice
8-10029350,22031-1313,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10032046,20165-6438,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,90,35,50,0
8-10038732,07039-3331,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10021938,22309-1847,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10028498,22191-6032,8-10002714,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10050669,22031-3535,8-10003737,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10025722,21043-4402,"",3,"15,000.00","5,000.00",12/11/2019,"5,000.00",10/24/2017,"5,000.00",12/11/2019,"25,000.00",0,0,90,35,0
8-10048206,22151-1720,8-10003618,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10044155,22033-2440,8-10000222,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10004613,20152-3676,8-10000228,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
993,22102-1435,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10019983,22192-9201,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,Wizard
8-10003608,22030,8-10000008,0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,0
8-10052447,20171-1548,"",,"",0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10034120,20171-4024,8-10002961,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10011880,22102-7680,8-10001741,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
1988,22033,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,Apprentice
8-10038750,29708-8969,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10038729,22043-1663,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10048405,20120-1367,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,90,35,42,0
8-10046176,20008-1504,8-10003516,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10018321,75025-4571,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10035756,20152-5734,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10010136,22039-2213,8-10001582,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10032206,20120-3739,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10018978,22039-1864,8-10002587,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10018336,20904-1126,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,90,35,42,0
8-10028891,20111-5255,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10053418,20171,"",,"",0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10014193,20170-2979,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10050433,22030-5146,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10018494,22031-3326,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10005050,20124-2409,8-10000309,0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,0
8-10017742,22043-1515,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,90,50,0
8-10036148,20164-5416,8-10003042,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10011284,22003-1176,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10014924,20105-5626,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,Apprentice
8-10011879,22032-3316,8-10001686,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10051079,20110-4156,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,90,0,0,0,0
8-10048547,20814-4934,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10040275,20105-2682,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,Apprentice
8-10022370,20144-1954,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,Apprentice
8-10045935,22101-2913,8-10003511,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,Apprentice
8-10005083,20170-5740,8-10000320,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10037212,20170-3129,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10026510,22312-1218,8-10002556,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10004161,22015-2901,8-10000161,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10027629,22153-3308,8-10002654,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10049966,60564-5387,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10044916,22039-2915,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10041050,22033-3624,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,Apprentice
8-10018208,22027-1102,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10031741,20171-2216,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10021056,20171-3910,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10013080,22033-1729,8-10001790,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10018380,22181-3210,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10019624,96860-4512,8-10002190,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10028469,20120-2989,8-10002710,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10031266,22124-2803,8-10002868,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10038724,22043-3103,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10039767,22031-1113,8-10002186,0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10053336,"","",,"",0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10051487,22039-1203,8-10003791,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10040613,22201-5872,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10025576,22031,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,0
8-10015821,22015-4058,8-10002935,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10022588,22201-5726,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10052701,22033,"",,"",0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
880,22182-5314,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,Apprentice
8-10034214,20151,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10036803,20124-2349,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10015939,22032-3803,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10023891,22039-2405,8-10002424,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10039047,20748-4277,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10003826,20169-2738,8-10000058,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10048372,22030-5411,8-10003628,0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,0
2336,22201-3933,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10040435,22150-3320,8-10003258,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
582,19003,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10006227,22193-4314,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,90,0,0
8-10053000,22101-3525,"",,"",0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10016301,20191-4252,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10050615,23832-2771,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10031013,22015-2543,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10037266,20120-1736,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10016318,20155-1253,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10027475,22124-1204,8-10002626,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10010068,22153-1005,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10024059,20148-5719,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10013095,22033-1748,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10031800,98112-4093,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10052725,20121-5315,"",,"",0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
197,20002-4288,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,Wizard
8-10016899,20170-4096,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10019160,22032-1400,8-10002168,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10009014,22025-1755,8-10001558,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10053147,20175-5056,"",,"",0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10022760,20165-3598,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10050568,22031-4254,8-10003721,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10030866,22180-7110,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10013361,22033-2037,8-10001820,0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10048042,22556-1224,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10019030,20161,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,Apprentice
8-10002409,22030-9015,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10016408,20191-3827,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,90,50,0
8-10030439,22015-3353,8-10003694,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10016423,20109-5613,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10002403,22181-3128,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10035818,20175-5829,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
93,22066-1560,"",1,500.00,500.00,5/24/2011,500.00,5/24/2011,500.00,5/24/2011,0.00,35,35,35,35,0
8-10047633,20155-5218,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10047911,20171-4322,8-10003606,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10051824,20171-3233,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,90,35,35,50,0
8-10005199,20194-1433,8-10001654,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
2220,22310-4952,"",1,500.00,500.00,12/22/2014,500.00,12/22/2014,500.00,12/22/2014,0.00,0,0,0,35,Apprentice
8-10023358,22124-2236,"",1,1.00,1.00,7/2/2018,1.00,7/2/2018,1.00,7/2/2018,0.00,35,35,35,50,0
8-10035110,44124-1625,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
341,20191-5213,8-10001771,9,860.00,250.00,6/6/2013,250.00,6/6/2013,100.00,4/6/2020,0.00,0,0,0,0,0
8-10047106,20171-1819,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10047656,20124,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10028969,22101-3961,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10051599,20002-3600,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10032292,22015-4250,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
1274,20110-4162,"",2,300.00,200.00,3/10/2015,100.00,5/6/2014,200.00,3/10/2015,0.00,35,35,35,35,Apprentice
8-10006638,22030-1813,8-10000506,0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
951,20171-2960,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,Apprentice
8-10052198,22315-5271,"",,"",0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10046449,20111-2345,8-10003528,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10022288,22180-5811,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10052636,20165-5614,"",,"",0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10047107,20171-1819,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,0
8-10027048,20165-3566,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,90,35,42,0
8-10036806,20151-2424,8-10003102,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,90,0,35,0
8-10019676,22201-2035,8-10002890,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,Wizard
650,20171-2933,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10012025,22015-2951,8-10001691,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,90,0,0
8-10003478,22066-3603,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10015238,22030-1850,8-10001932,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10047318,22193-4990,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10005022,22030-5233,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10047113,20171-1819,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
2076,20170-5488,"",1,100.00,100.00,3/10/2015,100.00,3/10/2015,100.00,3/10/2015,0.00,35,35,35,35,Wizard
8-10044896,20105-6110,8-10001935,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10053353,"","",,"",0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10013790,20191-1637,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10041285,22031-3229,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
279,77381-6439,"",1,50.00,50.00,5/23/2012,50.00,5/23/2012,50.00,5/23/2012,0.00,35,35,35,35,0
8-10049271,22033-6027,8-10003656,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10014732,22015-2509,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10016462,22124-2335,8-10001984,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,Apprentice
8-10031279,22124-2803,8-10002868,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10038695,22032-2916,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,90,0,0
8-10047661,22032-2833,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,90,35,35,0
8-10027371,20170-3139,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10013846,20175-2513,"",1,50.00,50.00,6/28/2016,50.00,6/28/2016,50.00,6/28/2016,50.00,35,35,35,35,0
8-10003823,20170-2910,8-10000057,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,90,0,35,0
8-10039902,22150-3915,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,Wizard
8-10047847,22046-1931,8-10003605,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10025373,20151-3952,8-10002541,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10002389,22407-6594,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10032807,20166-6741,"",2,200.00,125.00,6/4/2019,75.00,5/31/2018,125.00,6/4/2019,0.00,35,35,35,42,0
8-10049581,20109-8234,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10034592,22032-2832,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10011877,20152,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10040270,20136-2816,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10052319,20147-4739,"",,"",0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
2274,22033-1402,"",5,398.00,138.00,10/8/2018,100.00,3/12/2015,40.00,10/8/2018,0.00,35,35,35,42,0
8-10012424,80230-6963,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,Novice
8-10045162,22152-1716,8-10003482,0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10004706,22030-5930,8-10000253,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10046597,20164-3514,8-10003545,0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10017051,20008-3269,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
1353,22207-4027,"",1,20.00,20.00,5/7/2013,20.00,5/7/2013,20.00,5/7/2013,0.00,0,0,0,0,0
8-10011653,20171-4073,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,0
8-10006428,22030-5755,8-10000484,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10030686,20187-2546,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,Apprentice
8-10031234,22039-1427,"",1,"1,000.00","1,000.00",5/1/2018,"1,000.00",5/1/2018,"1,000.00",5/1/2018,0.00,90,35,35,50,0
8-10003577,22066,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,Wizard
2204,20190-3382,"",12,"3,000.00",250.00,2/15/2020,250.00,5/20/2017,250.00,5/15/2020,"5,000.00",0,0,0,35,Wizard
8-10049481,20121,8-10003671,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10042798,22101-2209,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10052201,22312-2339,"",,"",0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10053091,22302-1536,"",,"",0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10028064,20121-3093,8-10002680,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10046310,20176-6930,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10042663,22030-4604,8-10003369,0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,0
8-10027544,75206-8724,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10011926,20166-2461,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10003968,22032-3322,8-10000097,0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10041386,20120-3000,8-10003313,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,90,0,0,0
8-10024650,20120-2996,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10031445,22003-4637,8-10002873,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10003489,20171-3855,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10012980,22003-6008,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10053243,22152-1608,"",,"",0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
984,22066-2941,"",1,100.00,100.00,11/15/2016,100.00,11/15/2016,100.00,11/15/2016,0.00,0,0,0,35,0
8-10040216,22015-2702,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10015410,22032-2444,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,Novice
8-10015065,22033-2700,8-10001918,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10049771,22204-1819,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10046244,22193-3028,8-10003522,0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10047461,22033-1508,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10004362,22201-1912,8-10000201,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10014235,22033-2415,8-10001857,0,0.00,0.00,"",0.00,"",0.00,"",0.00,90,90,90,50,0
8-10016405,20169-2805,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10032385,20165-6514,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10030941,08053-1412,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10018788,37363,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10047105,20171-1819,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10017802,20120-1796,8-10003385,0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10011247,22079-1952,8-10001608,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10030354,20171-3858,8-10002832,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10005653,20136-2645,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10025715,22310-2234,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10034932,22066-1114,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
2203,20148-5652,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10051421,24078-2740,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10006561,20170-3159,"",1,100.00,100.00,11/14/2015,100.00,11/14/2015,100.00,11/14/2015,0.00,0,0,0,0,Apprentice
8-10042488,22025-3125,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10039084,22031-3002,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10005353,20120-2073,8-10000371,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10011252,20144-1857,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10031726,25414-4193,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10021123,22315-6070,8-10002291,0,0.00,0.00,"",0.00,"",0.00,"",0.00,90,35,35,42,0
8-10028445,22102-1400,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10046777,20171-4032,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10022198,20120-5028,8-10002354,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10026729,20191-3018,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10032631,22032-1912,8-10002894,0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10032504,29346-0109,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10052145,29072-3594,"",,"",0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
1280,20171-3855,8-10002121,13,"35,000.00","10,000.00",10/29/2014,"2,000.00",5/7/2013,"2,500.00",6/25/2020,"17,500.00",35,35,35,35,0
8-10031827,22044-2578,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10052657,22193-5593,"",,"",0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10033763,44813-1163,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,0
8-10045230,20171-2337,8-10003487,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10053351,"","",,"",0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
129,20148-7127,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10039121,22153-3806,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10022179,20165-3141,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10038615,22191-6404,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10013970,20175-8941,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,90,35,35,0
8-10052697,22030-4303,"",,"",0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
1362,57718-9012,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,Apprentice
206,20910-3405,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10047207,22003-1403,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
